CUSTOMERRECORD|G/M00005439|GM55832129|GM55832129 M063 1|20260401|WIFI SCOTLAND LLP|W Shaw|Taigh Na Siach|AB38 9RN|1|1|Passives Pole & Duct||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
PRODUCTCHARGE|Facility Hosting-JointBox||PIANOI100070381223|Rental|7|20260401|20260430|||OR013-1225702059817|BurgheadPremises||8||23|184|1|||OPIA89805195||||||||||||||6.1.3 Ancillary Rentals|Facility hosting (per joint box entry)|Structure Type|JointBox||||||||||||||||||||||PIAANCIR00010||||||||||||
PRODUCTCHARGE|Facility In Spine Duct-SingleBore||PIANOI100070381223|Rental|6|20260401|20260430|||OR013-1225702059817|BurgheadPremises||1|122|4|488|1|||OPIA89805179||||||||||||||6.1.1 Duct Products|Facility in Spine duct per metre - single bore |BoreCount|Single Bore||||||||||||||||||||||PIADUCTX00001||||||||||||
PRODUCTCHARGE|Facility Hosting-JointBox||PIANOI100070381223|Rental|6|20260401|20260430|||OR013-1225702059817|BurgheadPremises||5||23|115|1|||OPIA89805181||||||||||||||6.1.3 Ancillary Rentals|Facility hosting (per joint box entry)|Structure Type|JointBox||||||||||||||||||||||PIAANCIR00010||||||||||||
PRODUCTCHARGE|Facility In Spine Duct-SingleBore||PIANOI100070381223|Rental|10|20260401|20260430|||OR013-1225702059817|BurgheadPremises||1|236|4|944|1|||OPIA89805203||||||||||||||6.1.1 Duct Products|Facility in Spine duct per metre - single bore |BoreCount|Single Bore||||||||||||||||||||||PIADUCTX00001||||||||||||
PRODUCTCHARGE|Facility In Spine Duct-SingleBore||PIANOI100070381223|Rental|9|20260401|20260430|||OR013-1225702059817|BurgheadPremises||1|73|4|292|1|||OPIA89805221||||||||||||||6.1.1 Duct Products|Facility in Spine duct per metre - single bore |BoreCount|Single Bore||||||||||||||||||||||PIADUCTX00001||||||||||||
PRODUCTCHARGE|Facility Hosting-JointBox||PIANOI100070381223|Rental|9|20260401|20260430|||OR013-1225702059817|BurgheadPremises||4||23|92|1|||OPIA89805223||||||||||||||6.1.3 Ancillary Rentals|Facility hosting (per joint box entry)|Structure Type|JointBox||||||||||||||||||||||PIAANCIR00010||||||||||||
PRODUCTCHARGE|Facility On Pole-MultiEndUser Attachment||PIANOI100070381223|Rental|7|20260401|20260430|||OR013-1225702059817|BurgheadPremises||9||57|513|1|||OPIA89805197||||||||||||||6.1.2 Pole Products|Facility on pole for Multi-end-user attachment|AttachmentType|Multi-end-user attachment||||||||||||||||||||||PIAPOLEX00001||||||||||||
PRODUCTCHARGE|Facility In Spine Duct-SingleBore||PIANOI100073663623|Rental|3|20260401|20260430|||OR013-1226656658489|SpeyBaySpine||1|9|4|36|1|||OPIA90782661||||||||||||||6.1.1 Duct Products|Facility in Spine duct per metre - single bore |BoreCount|Single Bore||||||||||||||||||||||PIADUCTX00001||||||||||||
PRODUCTCHARGE|Facility In Spine Duct-SingleBore||PIANOI100073663623|Rental|4|20260401|20260430|||OR013-1226656658489|SpeyBaySpine||1|178|4|712|1|||OPIA90782649||||||||||||||6.1.1 Duct Products|Facility in Spine duct per metre - single bore |BoreCount|Single Bore||||||||||||||||||||||PIADUCTX00001||||||||||||
PRODUCTCHARGE|Facility In Spine Duct-SingleBore||PIANOI100073663623|Rental|2|20260401|20260430|||OR013-1226656658489|SpeyBaySpine||1|500|4|2000|1|||OPIA90782637||||||||||||||6.1.1 Duct Products|Facility in Spine duct per metre - single bore |BoreCount|Single Bore||||||||||||||||||||||PIADUCTX00001||||||||||||
PRODUCTCHARGE|Facility Hosting-JointBox||PIANOI100073663623|Rental|3|20260401|20260430|||OR013-1226656658489|SpeyBaySpine||2||23|46|1|||OPIA90782663||||||||||||||6.1.3 Ancillary Rentals|Facility hosting (per joint box entry)|Structure Type|JointBox||||||||||||||||||||||PIAANCIR00010||||||||||||
PRODUCTCHARGE|Facility Hosting-JointBox||PIANOI100073663623|Rental|1|20260401|20260430|||OR013-1226656658489|SpeyBaySpine||11||23|253|1|||OPIA90782657||||||||||||||6.1.3 Ancillary Rentals|Facility hosting (per joint box entry)|Structure Type|JointBox||||||||||||||||||||||PIAANCIR00010||||||||||||
PRODUCTCHARGE|Facility Hosting-JointBox||PIANOI100073663623|Rental|4|20260401|20260430|||OR013-1226656658489|SpeyBaySpine||11||23|253|1|||OPIA90782651||||||||||||||6.1.3 Ancillary Rentals|Facility hosting (per joint box entry)|Structure Type|JointBox||||||||||||||||||||||PIAANCIR00010||||||||||||
PRODUCTCHARGE|Facility On Pole-MultiEndUser Attachment||PIANOI100073663623|Rental|4|20260401|20260430|||OR013-1226656658489|SpeyBaySpine||11||57|627|1|||OPIA90782643||||||||||||||6.1.2 Pole Products|Facility on pole for Multi-end-user attachment|AttachmentType|Multi-end-user attachment||||||||||||||||||||||PIAPOLEX00001||||||||||||
PRODUCTCHARGE|Facility In Spine Duct-SingleBore||PIANOI100073663623|Rental|1|20260401|20260430|||OR013-1226656658489|SpeyBaySpine||1|562|4|2248|1|||OPIA90782655||||||||||||||6.1.1 Duct Products|Facility in Spine duct per metre - single bore |BoreCount|Single Bore||||||||||||||||||||||PIADUCTX00001||||||||||||
PRODUCTCHARGE|Facility Hosting-JointBox||PIANOI100073663623|Rental|2|20260401|20260430|||OR013-1226656658489|SpeyBaySpine||8||23|184|1|||OPIA90782639||||||||||||||6.1.3 Ancillary Rentals|Facility hosting (per joint box entry)|Structure Type|JointBox||||||||||||||||||||||PIAANCIR00010||||||||||||
PRODUCTCHARGE|Facility On Pole-MultiEndUser Attachment||PIANOI100080332823|Rental|1|20260401|20260430|||OR014-1220730349937|Mansefield||1||57|57|1|||OPIA13108075||||||||||||||6.1.2 Pole Products|Facility on pole for Multi-end-user attachment|AttachmentType|Multi-end-user attachment||||||||||||||||||||||PIAPOLEX00001||||||||||||
BILLSUMMARYRECORD|24656|4931|0|29587|0|24656|0|0|0|0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
